"decile","customer_count","decile_revenue","revenue_share"
1,"434","5469382.46","0.61375065773838048643"
2,"434","1180055.00","0.13242071435199369563"
3,"434","728457.38","0.08174436499534489943"
4,"434","491753.71","0.05518249366634872588"
5,"434","344466.86","0.03865459463481634591"
6,"434","252716.63","0.02835877706821163466"
7,"434","179720.00","0.02016740811516438385"
8,"434","132016.26","0.01481429887189879390"
9,"434","87051.95","0.00976859672196129637"
10,"433","45787.65","0.00513809383587973793"
