"customer_id","total_revenue","order_count","spend_tier"
13256,"0.00",1,"low"
16738,"3.75",1,"low"
14792,"6.20",1,"low"
16454,"6.90",2,"low"
17956,"12.75",1,"low"
16878,"13.30",1,"low"
15823,"15.00",1,"low"
17763,"15.00",1,"low"
13307,"15.00",1,"low"
16093,"17.00",1,"low"
16953,"20.80",1,"low"
17986,"20.80",1,"low"
17102,"25.50",1,"low"
18268,"25.50",1,"low"
15657,"30.00",1,"low"
13120,"30.60",1,"low"
17408,"32.65",1,"low"
16765,"34.00",1,"low"
15744,"34.80",1,"low"
14576,"35.40",1,"low"
16856,"35.40",1,"low"
17831,"35.40",1,"low"
15940,"35.80",1,"low"
17816,"36.56",4,"low"
16162,"37.40",1,"low"
12855,"38.10",1,"low"
18019,"38.45",1,"low"
16659,"39.12",1,"low"
12977,"39.24",1,"low"
14589,"39.75",1,"low"
15178,"40.50",1,"low"
15992,"41.99",1,"low"
14300,"43.20",1,"low"
15423,"43.50",1,"low"
14080,"45.60",1,"low"
16257,"46.95",1,"low"
15603,"48.48",1,"low"
14821,"48.80",1,"low"
18184,"49.80",1,"low"
13011,"50.55",1,"low"
14351,"51.00",1,"low"
17844,"51.56",1,"low"
14682,"52.00",2,"low"
15313,"52.00",1,"low"
13832,"52.20",1,"low"
14865,"52.20",2,"low"
15504,"52.83",1,"low"
16349,"53.50",1,"low"
13366,"56.16",1,"low"
15899,"56.25",1,"low"
17775,"56.40",1,"low"
13080,"58.08",1,"low"
14957,"58.49",1,"low"
13682,"59.50",1,"low"
13391,"59.80",1,"low"
17174,"59.90",1,"low"
13194,"60.70",1,"low"
15516,"62.43",3,"low"
13218,"62.64",1,"low"
14840,"62.85",1,"low"
14437,"63.00",1,"low"
12665,"63.00",1,"low"
17263,"63.44",1,"low"
13302,"63.75",1,"low"
13130,"64.00",1,"low"
17382,"65.40",1,"low"
13684,"67.23",1,"low"
14393,"67.95",1,"low"
15863,"68.84",2,"low"
18037,"70.02",6,"low"
17022,"71.00",1,"low"
17747,"71.40",1,"low"
13185,"71.40",1,"low"
13938,"71.66",1,"low"
13686,"72.00",1,"low"
17906,"72.90",1,"low"
16171,"73.20",1,"low"
12506,"73.50",1,"low"
18032,"73.50",1,"low"
17960,"73.78",1,"low"
18050,"74.40",1,"low"
13095,"74.40",1,"low"
16468,"74.90",1,"low"
13403,"75.00",1,"low"
16610,"75.66",1,"low"
17628,"75.75",1,"low"
17995,"76.10",1,"low"
15668,"76.32",1,"low"
18113,"76.32",1,"low"
14090,"76.32",1,"low"
16148,"76.32",1,"low"
13106,"76.50",1,"low"
17536,"76.50",1,"low"
14373,"76.55",1,"low"
13992,"76.80",1,"low"
13132,"77.30",1,"low"
14785,"77.40",2,"low"
17942,"77.50",1,"low"
15753,"79.20",1,"low"
16078,"79.20",1,"low"
13747,"79.60",1,"low"
17752,"80.64",1,"low"
13967,"80.70",1,"low"
16789,"80.80",1,"low"
18281,"80.82",1,"low"
17620,"81.44",1,"low"
13006,"81.57",1,"low"
17309,"82.75",1,"low"
12401,"84.30",1,"low"
13666,"84.65",3,"low"
15729,"85.00",1,"low"
13841,"85.00",1,"low"
15541,"85.13",1,"low"
13296,"87.40",1,"low"
15180,"87.50",1,"low"
15083,"88.20",1,"low"
12353,"89.00",1,"low"
14436,"89.06",1,"low"
12686,"89.14",1,"low"
14760,"89.20",1,"low"
14219,"89.94",1,"low"
14117,"90.00",1,"low"
16597,"90.04",1,"low"
15552,"90.12",1,"low"
16506,"90.30",2,"low"
18084,"90.48",1,"low"
13947,"90.60",1,"low"
14353,"90.60",1,"low"
15488,"91.32",1,"low"
12659,"91.68",1,"low"
13160,"91.80",1,"low"
13551,"91.80",1,"low"
12789,"91.85",1,"low"
14054,"92.46",1,"low"
12821,"92.72",1,"low"
17991,"93.35",2,"low"
13283,"93.66",2,"low"
18227,"93.75",1,"low"
15428,"93.78",1,"low"
15397,"94.00",1,"low"
13651,"94.20",2,"low"
16387,"94.36",1,"low"
12548,"95.20",1,"low"
18249,"95.34",1,"low"
17024,"95.85",3,"low"
14642,"96.12",1,"low"
15216,"96.60",1,"low"
17325,"96.80",1,"low"
12984,"97.50",1,"low"
15422,"97.70",2,"low"
18033,"97.97",1,"low"
17895,"98.00",1,"low"
17538,"98.42",1,"low"
15256,"98.45",1,"low"
17939,"99.14",1,"low"
13703,"99.50",1,"low"
14371,"100.50",1,"low"
17427,"100.80",1,"low"
14946,"100.90",1,"low"
16498,"100.97",2,"low"
16344,"101.10",1,"low"
13101,"101.19",1,"low"
18086,"101.34",1,"low"
16006,"101.40",1,"low"
17643,"101.55",1,"low"
16516,"101.70",1,"low"
18068,"101.70",1,"low"
15212,"101.80",1,"low"
13948,"102.00",1,"low"
14981,"102.12",1,"low"
14836,"102.45",3,"low"
18011,"102.79",1,"low"
17962,"102.83",1,"low"
14542,"103.25",1,"low"
17548,"103.30",1,"low"
18255,"103.30",1,"low"
18174,"104.00",1,"low"
15958,"104.35",1,"low"
15607,"104.76",1,"low"
14027,"104.82",1,"low"
15775,"104.90",1,"low"
16581,"105.84",1,"low"
17791,"106.10",1,"low"
15070,"106.20",1,"low"
15168,"106.56",1,"low"
16757,"106.83",1,"low"
15395,"107.45",1,"low"
16784,"107.60",1,"low"
14661,"107.95",1,"low"
12956,"108.07",1,"low"
13226,"108.21",1,"low"
16106,"108.38",1,"low"
17639,"108.50",1,"low"
14345,"108.98",1,"low"
14699,"109.13",1,"low"
16363,"109.36",1,"low"
13133,"109.80",2,"low"
16339,"109.95",1,"low"
17836,"110.21",1,"low"
17746,"110.25",1,"low"
16792,"110.38",2,"low"
18277,"110.38",1,"low"
17901,"110.38",1,"low"
12734,"110.40",1,"low"
14641,"110.46",1,"low"
16963,"110.55",1,"low"
17349,"110.75",1,"low"
15853,"110.80",1,"low"
15537,"110.92",1,"low"
13144,"110.95",1,"low"
13508,"110.97",1,"low"
18120,"111.15",1,"low"
17887,"111.35",1,"low"
17957,"111.68",1,"low"
17274,"111.98",1,"low"
12756,"112.08",1,"low"
17900,"112.20",2,"low"
17893,"112.25",1,"low"
14271,"112.32",1,"low"
17038,"112.40",1,"low"
15610,"112.46",1,"low"
18129,"112.55",1,"low"
13807,"112.60",1,"low"
13161,"112.75",1,"low"
16697,"112.75",1,"low"
14689,"112.80",1,"low"
15280,"113.12",1,"low"
16913,"113.44",1,"low"
18105,"113.48",1,"low"
17217,"113.50",1,"low"
15445,"113.50",1,"low"
14457,"113.64",1,"low"
12651,"114.00",1,"low"
14582,"114.11",1,"low"
12938,"114.14",1,"low"
14652,"114.18",1,"low"
17219,"114.23",1,"low"
17852,"114.34",2,"low"
14974,"114.39",1,"low"
14632,"114.56",1,"low"
16247,"114.56",1,"low"
13188,"114.60",1,"low"
14972,"114.77",1,"low"
18027,"115.31",1,"low"
13067,"115.46",1,"low"
15350,"115.65",1,"low"
14143,"115.80",1,"low"
13170,"116.01",1,"low"
17601,"116.01",1,"low"
17117,"116.20",1,"low"
13877,"117.24",1,"low"
16959,"117.35",1,"low"
17654,"117.55",1,"low"
12929,"117.85",1,"low"
13193,"117.88",1,"low"
13581,"118.00",1,"low"
14155,"118.75",1,"low"
17079,"118.80",1,"low"
15843,"118.95",1,"low"
16666,"118.98",1,"low"
15266,"119.30",1,"low"
16542,"119.62",1,"low"
14453,"119.93",1,"low"
14314,"120.00",1,"low"
14259,"120.00",1,"low"
18015,"120.03",1,"low"
17446,"120.90",2,"low"
13002,"120.95",1,"low"
15512,"121.00",2,"low"
15049,"121.17",1,"low"
13182,"121.18",1,"low"
13244,"121.74",1,"low"
