"stock_code","description","units_sold","total_revenue","avg_line_revenue"
"B","Adjust bad debt",3,"-11062.06","-3687.35"
"85226A",NULL,1,"0.00","0.00"
"72803B",NULL,1,"0.00","0.00"
"23595","adjustment",5,"0.00","0.00"
"72814",NULL,2,"0.00","0.00"
"62095B",NULL,2,"0.00","0.00"
"85018C",NULL,3,"0.00","0.00"
"90042B",NULL,1,"0.00","0.00"
"35592T",NULL,4,"0.00","0.00"
"20950",NULL,1,"0.00","0.00"
"84247C",NULL,1,"0.00","0.00"
"20849",NULL,1,"0.00","0.00"
"PADS","PADS TO MATCH ALL CUSHIONS",4,"0.00","0.00"
"21134",NULL,1,"0.00","0.00"
"84670",NULL,23,"0.00","0.00"
"85044",NULL,1,"0.00","0.00"
"35600A","Found by jackie",1,"0.00","0.00"
"84971L",NULL,2,"0.00","0.00"
"84227","HEN HOUSE W CHICK IN NEST",2,"0.42","0.21"
"51014c","FEATHER PEN,COAL BLACK",1,"0.83","0.83"
