"country","order_count","total_revenue","avg_order_value"
"Singapore","7","21279.29","3039.8985714285714286"
"Netherlands","95","285446.34","3004.6983157894736842"
"Australia","57","138521.31","2430.1984210526315789"
"Japan","19","37416.37","1969.2826315789473684"
"Lebanon","1","1693.88","1693.8800000000000000"
"Hong Kong","11","15691.80","1426.5272727272727273"
"Brazil","1","1143.60","1143.6000000000000000"
"Sweden","36","38378.33","1066.0647222222222222"
"Switzerland","54","57089.90","1057.2203703703703704"
"Denmark","18","18955.34","1053.0744444444444444"
"Israel","8","8135.26","1016.9075000000000000"
"Norway","36","36165.44","1004.5955555555555556"
"RSA","1","1002.31","1002.3100000000000000"
"EIRE","288","283453.96","984.2151388888888889"
"Greece","5","4760.52","952.1040000000000000"
"Cyprus","16","13590.38","849.3987500000000000"
"Channel Islands","26","20450.44","786.5553846153846154"
"USA","5","3580.39","716.0780000000000000"
"Spain","90","61577.11","684.1901111111111111"
"United Arab Emirates","3","1902.28","634.0933333333333333"
"Iceland","7","4310.00","615.7142857142857143"
"Canada","6","3666.38","611.0633333333333333"
"Austria","17","10198.68","599.9223529411764706"
"Portugal","58","33747.10","581.8465517241379310"
"Finland","41","22546.08","549.9043902439024390"
"Malta","5","2725.59","545.1180000000000000"
"France","392","209715.11","534.9875255102040816"
"Germany","457","228867.14","500.8033698030634573"
"United Kingdom","18786","9003097.96","479.2450739912700948"
"Italy","38","17483.24","460.0852631578947368"
"Belgium","98","41196.34","420.3708163265306122"
"Lithuania","4","1661.06","415.2650000000000000"
"Czech Republic","2","826.74","413.3700000000000000"
"Poland","19","7334.65","386.0342105263157895"
"Unspecified","13","4749.79","365.3684615384615385"
"European Community","4","1300.25","325.0625000000000000"
"Bahrain","3","754.14","251.3800000000000000"
"Saudi Arabia","1","145.92","145.9200000000000000"
