"country","sales_revenue","returns_value","returns_rate"
"Singapore","21279.29","12158.90","0.57139594413159461617"
"USA","3580.39","1849.47","0.51655545904217138356"
"Hong Kong","15691.80","5574.76","0.35526580761926611351"
"Bahrain","754.14","205.74","0.27281406635372742462"
"Czech Republic","826.74","119.02","0.14396303553717008975"
"Portugal","33747.10","4380.08","0.12979130058582811560"
"Spain","61577.11","6802.53","0.11047173210954525147"
"Saudi Arabia","145.92","14.75","0.10108278508771929825"
"United Kingdom","9003097.96","815291.60","0.09055678430050093557"
"Malta","2725.59","220.12","0.08076049589263242087"
"EIRE","283453.96","20177.14","0.07118312970473229586"
"France","209715.11","12311.21","0.05870444909763535875"
"Japan","37416.37","2075.75","0.05547705456194708359"
"Cyprus","13590.38","644.09","0.04739308245979876942"
"Sweden","38378.33","1782.42","0.04644339657301398993"
"Italy","17483.24","592.73","0.03390275486694685882"
"Germany","228867.14","7168.93","0.03132354430609828916"
"Israel","8135.26","227.44","0.02795731175156049100"
"Norway","36165.44","1001.98","0.02770545581638160631"
"Channel Islands","20450.44","364.15","0.01780646284383123297"
"Poland","7334.65","121.51","0.01656657100202463649"
"Switzerland","57089.90","704.55","0.01234106207928197457"
"Greece","4760.52","50.00","0.01050305428818700478"
"Australia","138521.31","1444.04","0.01042467761819463013"
"Denmark","18955.34","187.20","0.00987584501254000192"
"Finland","22546.08","219.34","0.00972852043459439512"
"Belgium","41196.34","285.38","0.00692731441676614961"
"European Community","1300.25","8.50","0.00653720438377235147"
"Austria","10198.68","44.36","0.00434958249498954767"
"Netherlands","285446.34","784.80","0.00274937839455219499"
"Unspecified","4749.79","0","0.00000000000000000000"
"Iceland","4310.00","0","0.00000000000000000000"
"Canada","3666.38","0","0.00000000000000000000"
"United Arab Emirates","1902.28","0","0.00000000000000000000"
"Lebanon","1693.88","0","0.00000000000000000000"
"Lithuania","1661.06","0","0.00000000000000000000"
"Brazil","1143.60","0","0.00000000000000000000"
"RSA","1002.31","0","0.00000000000000000000"
