"stock_code","description","units_sold","units_returned","sales_revenue","returns_value","returns_rate"
"S","SAMPLES",2,"61","63.05","3112.44","49.3646312450436162"
"BANK CHARGES","Bank Charges",12,"25","165.00","7340.64","44.4887272727272727"
"AMAZONFEE","AMAZON FEE",2,"32","13761.09","235281.59","17.0975983733846665"
"20703","BLUE PADDED SOFT MOBILE",1,"7","4.25","29.75","7.0000000000000000"
"79323P","PINK CHERRY LIGHTS",4,"2011","27.00","54.00","2.0000000000000000"
"M","Manual",7230,"4066","78110.27","146784.46","1.8791953990173123"
"35400","WOODEN BOX ADVENT CALENDAR ",18,"16","89.50","135.20","1.5106145251396648"
"84750A","PINK SMALL GLASS CAKE STAND",24,"37","46.80","52.65","1.1250000000000000"
"22034","ROBIN CHRISTMAS CARD",22,"258","5.02","5.04","1.00398406374501992032"
"23843","PAPER CRAFT , LITTLE BIRDIE",80995,"80995","168469.60","168469.60","1.00000000000000000000"
"21655","HANGING RIDGE GLASS T-LIGHT HOLDER",55,"36","60.84","60.84","1.00000000000000000000"
"79323B","BLACK CHERRY LIGHTS",8,"1679","54.00","54.00","1.00000000000000000000"
"21667","GLASS CAKE COVER AND PLATE",5,"4","29.90","29.90","1.00000000000000000000"
"85047","WHITE BEADED GARLAND STRING 20LIGHT",3,"3","19.05","18.25","0.95800524934383202100"
"23166","MEDIUM CERAMIC TOP STORAGE JAR",78033,"74494","81700.92","77479.64","0.94833252795684552879"
"72815","3 WICK CHRISTMAS BRIAR CANDLE ",3,"7","15.97","15.00","0.93926111458985597996"
"85232B","SET OF 3 BABUSHKA STACKING TINS",281,"256","1361.25","1258.05","0.92418732782369146006"
"23113","PANTRY CHOPPING BOARD",1154,"2386","5868.50","4803.06","0.81844764420209593593"
"85071A","BLUE CHARLIE+LOLA PERSONAL DOORSIGN",1041,"152","583.23","448.40","0.76882190559470534780"
"16202E","BLACK PHOTO ALBUM ",15,"1","7.50","5.55","0.74000000000000000000"
