"customer_id","total_revenue","order_count","first_order_date","last_order_date"
14646,"280206.02",74,"2010-12-20","2011-12-08"
18102,"259657.30",60,"2010-12-07","2011-12-09"
17450,"194550.79",46,"2010-12-07","2011-12-01"
16446,"168472.50",2,"2011-05-18","2011-12-09"
14911,"143825.06",201,"2010-12-01","2011-12-08"
12415,"124914.53",21,"2011-01-06","2011-11-15"
14156,"117379.63",55,"2010-12-03","2011-11-30"
17511,"91062.38",31,"2010-12-01","2011-12-07"
16029,"81024.84",63,"2010-12-01","2011-11-01"
12346,"77183.60",1,"2011-01-18","2011-01-18"
16684,"66653.56",28,"2010-12-16","2011-12-05"
14096,"65164.79",17,"2011-08-30","2011-12-05"
13694,"65039.62",50,"2010-12-01","2011-12-06"
15311,"60767.90",91,"2010-12-01","2011-12-09"
13089,"58825.83",97,"2010-12-05","2011-12-07"
17949,"58510.48",45,"2010-12-03","2011-12-08"
15769,"56252.72",26,"2010-12-03","2011-12-02"
15061,"54534.14",48,"2010-12-02","2011-12-06"
14298,"51527.30",44,"2010-12-14","2011-12-01"
14088,"50491.81",13,"2011-01-21","2011-11-29"
