"stock_code","description","units_sold","total_revenue","avg_line_revenue"
"DOT","DOTCOM POSTAGE",1708,"206248.77","290.90"
"22423","REGENCY CAKESTAND 3 TIER",13890,"174484.74","86.42"
"23843","PAPER CRAFT , LITTLE BIRDIE",80995,"168469.60","168469.60"
"85123A","WHITE HANGING HEART T-LIGHT HOLDER",41664,"104518.80","46.04"
"47566","PARTY BUNTING",18299,"99504.33","58.29"
"85099B","JUMBO BAG RED RETROSPOT",48478,"94340.05","44.61"
"23166","MEDIUM CERAMIC TOP STORAGE JAR",78033,"81700.92","326.80"
"M","Manual",7230,"78110.27","238.87"
"POST","POSTAGE",6500,"78101.88","69.12"
"23084","website fixed",31722,"66964.99","63.84"
"22086","PAPER CHAIN KIT 50'S CHRISTMAS ",19355,"64952.29","54.13"
"84879","ASSORTED COLOUR BIRD ORNAMENT",36461,"59094.93","39.69"
"79321","CHILLI LIGHTS",10423,"54117.76","79.94"
"22502","PICNIC BASKET WICKER SMALL",2048,"51426.62","108.49"
"22197","SMALL POPCORN HOLDER",56921,"51354.02","36.01"
"23298","SPOTTY BUNTING",8644,"43182.83","37.00"
"22386","JUMBO BAG PINK POLKADOT",21465,"42436.24","34.28"
"23203","mailout",20603,"42067.78","33.65"
"21137","BLACK RECORD COVER FRAME",11656,"40652.13","107.26"
"23284","DOORMAT KEEP CALM AND COME IN",5504,"38166.64","51.72"
