"stock_code","description","units_sold","total_revenue","avg_line_revenue"
"23843","PAPER CRAFT , LITTLE BIRDIE",80995,"168469.60","168469.60"
"23166","MEDIUM CERAMIC TOP STORAGE JAR",78033,"81700.92","326.80"
"22197","SMALL POPCORN HOLDER",56921,"51354.02","36.01"
"84077","WORLD WAR 2 GLIDERS ASSTD DESIGNS",55047,"13841.85","25.78"
"85099B","JUMBO BAG RED RETROSPOT",48478,"94340.05","44.61"
"85123A","WHITE HANGING HEART T-LIGHT HOLDER",41664,"104518.80","46.04"
"84879","ASSORTED COLOUR BIRD ORNAMENT",36461,"59094.93","39.69"
"21212","PACK OF 72 RETROSPOT CAKE CASES",36419,"21259.10","15.52"
"23084","website fixed",31722,"66964.99","63.84"
"22492","MINI PAINT SET VINTAGE ",26633,"16937.82","44.57"
"22616","PACK OF 12 LONDON TISSUES ",26339,"7980.92","15.09"
"21977","PACK OF 60 PINK PAISLEY CAKE CASES",24854,"12245.02","13.76"
"22178","VICTORIAN GLASS HANGING T-LIGHT",24304,"33187.97","31.70"
"15036","ASSORTED COLOURS SILK FAN",23826,"18569.84","35.78"
"17003","BROCADE RING PURSE ",23056,"6036.39","24.94"
"21915","RED  HARMONICA IN BOX ",22133,"26331.58","39.42"
"22386","JUMBO BAG PINK POLKADOT",21465,"42436.24","34.28"
"23203","mailout",20603,"42067.78","33.65"
"20725","LUNCH BAG RED SPOTTY",19553,"36042.01","22.60"
"22086","PAPER CHAIN KIT 50'S CHRISTMAS ",19355,"64952.29","54.13"
